Lastnofitied,FirstNotifiedAt,SiteID,InstanceID,LTimeCluster,FTimeCluster,15minutelastcluster,15minutefirstcluster
1518465483,1516571341,3606470,23465,1518462000,1516568400,1518464700,1516571100
1518465623,1505851807,3682533,23484,1518465600,1505851200,1518465600,1505851200
1518466008,1499560971,3682534,23476,1518465600,1499558400,1518465600,1499560200
1518466778,1518451088,3687379,23646,1518465600,1518447600,1518466500,1518450300
1518466953,1518451228,3687379,23614,1518465600,1518451200,1518466500,1518451200
1518468178,1516571341,3606470,23465,1518465600,1516568400,1518467400,1516571100
1518469369,1516571341,3606470,23465,1518469200,1516568400,1518469200,1516571100
1518470523,1518451088,3687379,23646,1518469200,1518447600,1518470100,1518450300
1518470698,1518451228,3687379,23614,1518469200,1518451200,1518470100,1518451200
1518474691,1505851807,3682533,23484,1518472800,1505851200,1518474600,1505851200
1518475146,1518402501,3658144,23487,1518472800,1518400800,1518474600,1518401700
1518475986,1518475986,3687379,23602,1518472800,1518472800,1518475500,1518475500
1518476056,1518347707,3687379,23613,1518472800,1518346800,1518475500,1518347700
1518477037,1516571341,3606470,23465,1518476400,1516568400,1518476400,1516571100
1518479977,1518479977,3658184,23556,1518476400,1518476400,1518479100,1518479100
1518480012,1518480012,3658143,23916,1518480000,1518480000,1518480000,1518480000
1518480222,1518480222,3658143,23774,1518480000,1518480000,1518480000,1518480000
1518481062,1518479977,3658184,23556,1518480000,1518476400,1518480900,1518479100
1518483162,1516382381,3658226,23477,1518480000,1516381200,1518482700,1516382100
1518484947,1518053416,3658183,23481,1518483600,1518051600,1518484500,1518053400
1518485122,1518485122,3687618,23498,1518483600,1518483600,1518484500,1518484500
1518485857,1508504357,3687419,23474,1518483600,1508500800,1518485400,1508503500
1518486627,1518479977,3658184,23556,1518483600,1518476400,1518486300,1518479100
1518488942,1518485122,3687618,23498,1518487200,1518483600,1518488100,1518484500
1518489817,1518485122,3687618,23498,1518487200,1518483600,1518489000,1518484500
1518491042,1508291447,3682701,23496,1518490800,1508288400,1518490800,1508291100
1518492967,1499560971,3682534,23476,1518490800,1499558400,1518492600,1499560200
1518493177,1518479977,3658184,23556,1518490800,1518476400,1518492600,1518479100
1518494192,1509730736,3682701,23462,1518490800,1509728400,1518493500,1509730200
1518494857,1518479977,3658184,23556,1518494400,1518476400,1518494400,1518479100
1518495207,1516571341,3606470,23465,1518494400,1516568400,1518494400,1516571100
1518496397,1517028225,3682601,23463,1518494400,1517025600,1518496200,1517027400
1518496712,1518143508,3903620,23466,1518494400,1518141600,1518496200,1518143400
1518498007,1518402501,3658144,23487,1518498000,1518400800,1518498000,1518401700
1518500317,1518479977,3658184,23556,1518498000,1518476400,1518499800,1518479100
1518500562,1510986692,3658134,23507,1518498000,1510984800,1518499800,1510986600
1518500877,1518479977,3658184,23556,1518498000,1518476400,1518500700,1518479100
1518500912,1518143508,3903620,23466,1518498000,1518141600,1518500700,1518143400
1518501927,1518479977,3658184,23556,1518501600,1518476400,1518501600,1518479100
1518502088,1518502088,20005,24220,1518501600,1518501600,1518501600,1518501600
1518502112,1518502112,20005,24220,1518501600,1518501600,1518501600,1518501600
1518504132,1518479977,3658184,23556,1518501600,1518476400,1518503400,1518479100
1518505497,1518505497,3658183,23481,1518505200,1518505200,1518505200,1518505200
1518505847,1518505847,3658166,23485,1518505200,1518505200,1518505200,1518505200
1518506092,1497589877,3607492,23843,1518505200,1497589200,1518505200,1497589200
1518507143,1518505497,3658183,23481,1518505200,1518505200,1518507000,1518505200
1518507317,1499560971,3682534,23476,1518505200,1499558400,1518507000,1499560200
1518507457,1518507457,3687618,23498,1518505200,1518505200,1518507000,1518507000
1518508507,1518143508,3903620,23466,1518505200,1518141600,1518507900,1518143400
1518508682,1518508682,3689085,23710,1518505200,1518505200,1518507900,1518507900
1518511052,1518511052,20003,24218,1518508800,1518508800,1518510600,1518510600
1518511060,1518511060,20003,24218,1518508800,1518508800,1518510600,1518510600
1518513197,1518513197,3658132,23553,1518512400,1518512400,1518512400,1518512400
1518513302,1517028225,3682601,23463,1518512400,1517025600,1518513300,1517027400
1518513762,1518513762,3658219,23460,1518512400,1518512400,1518513300,1518513300
1518513797,1518479977,3658184,23556,1518512400,1518476400,1518513300,1518479100
1518514077,1518514077,3607280,23561,1518512400,1518512400,1518513300,1518513300
1518514112,1490128246,3607280,23502,1518512400,1490126400,1518513300,1490128200
1518514147,1518514147,3607280,23559,1518512400,1518512400,1518513300,1518513300
1518514147,1518514147,3607280,23560,1518512400,1518512400,1518513300,1518513300
1518514357,1518514357,3689085,23709,1518512400,1518512400,1518514200,1518514200
1518514532,1508245591,3607280,23503,1518512400,1508245200,1518514200,1508245200
1518515022,1518513197,3658132,23553,1518512400,1518512400,1518514200,1518512400
1518515267,1516382381,3658226,23477,1518512400,1516381200,1518515100,1516382100
1518515582,1518178072,3682582,23467,1518512400,1518177600,1518515100,1518177600
1518520172,1505851807,3682533,23484,1518519600,1505851200,1518519600,1505851200
1518520417,1516571341,3606470,23465,1518519600,1516568400,1518519600,1516571100
1518522798,1516382381,3658226,23477,1518519600,1516381200,1518522300,1516382100
1518522798,1508504357,3687419,23474,1518519600,1508500800,1518522300,1508503500
1518530500,1516571341,3606470,23465,1518530400,1516568400,1518530400,1516571100
1518531270,1518531270,3682592,23541,1518530400,1518530400,1518530400,1518530400
1518532495,1518532495,3685135,23578,1518530400,1518530400,1518532200,1518532200
1518532495,1518532495,3685135,23642,1518530400,1518530400,1518532200,1518532200
1518534356,1516571341,3606470,23465,1518534000,1516568400,1518534000,1516571100
1518534846,1516571341,3606470,23465,1518534000,1516568400,1518534000,1516571100
1518535791,1516571341,3606470,23465,1518534000,1516568400,1518534900,1516571100
1518537470,1516571341,3606470,23465,1518534000,1516568400,1518536700,1516571100
1518537821,1518537821,3687379,23646,1518537600,1518537600,1518537600,1518537600
1518538950,1518538950,20003,24218,1518537600,1518537600,1518538500,1518538500
1518538960,1518538960,20003,24218,1518537600,1518537600,1518538500,1518538500
1518539396,1505851807,3682533,23484,1518537600,1505851200,1518538500,1505851200
1518542895,1518402501,3658144,23487,1518541200,1518400800,1518542100,1518401700
1518544126,1516382381,3658226,23477,1518541200,1516381200,1518543900,1516382100
1518545281,1518545281,3689247,23876,1518544800,1518544800,1518544800,1518544800
1518549766,1518549766,3606454,23557,1518548400,1518548400,1518549300,1518549300
1518550781,1516571341,3606470,23465,1518548400,1516568400,1518550200,1516571100
1518552181,1516382381,3658226,23477,1518552000,1516381200,1518552000,1516382100
1518552203,1518552203,20002,24217,1518552000,1518552000,1518552000,1518552000
1518552237,1518552237,20002,24217,1518552000,1518552000,1518552000,1518552000
1518552741,1516571341,3606470,23465,1518552000,1516568400,1518552000,1516571100
1518554106,1518554106,3687618,23498,1518552000,1518552000,1518553800,1518553800
1518554701,1516571341,3606470,23465,1518552000,1516568400,1518554700,1516571100
1518554771,1518554771,3687379,23602,1518552000,1518552000,1518554700,1518554700
1518555401,1516571341,3606470,23465,1518552000,1516568400,1518554700,1516571100
